variable,beta,method
lbx074la,2.4311552807264008e-4,Grouped Lasso
lbx099la,0.0014764521759856014,Grouped Lasso
lbx118la,0.004987735063857058,Grouped Lasso
lbx138la,-0.005108470047247204,Grouped Lasso
lbx153la,0.012115857678859041,Grouped Lasso
lbx170la,0.004137744618106907,Grouped Lasso
lbx180la,-0.009606363422374585,Grouped Lasso
lbx187la,-0.0012329599083009287,Grouped Lasso
lbxd03la,-0.005732351261250149,Grouped Lasso
lbxd05la,0.003367298070249184,Grouped Lasso
lbxd07la,-0.010948286775432145,Grouped Lasso
lbxf03la,0.014880127214395465,Grouped Lasso
lbxf04la,0.004549489096732042,Grouped Lasso
lbxf05la,-0.007755746873377978,Grouped Lasso
lbxf08la,0.00900916018300427,Grouped Lasso
lbxpcbla,0.012088022395017979,Grouped Lasso
lbxhxcla,0.008709727015763226,Grouped Lasso
lbx194la,-4.4790599040328924e-4,Grouped Lasso
lbxwbcsi,-0.006125611138141703,Grouped Lasso
lbxlypct,-0.0027352386387069503,Grouped Lasso
lbxmopct,-0.007726212180296758,Grouped Lasso
lbxnepct,-0.00182516971089691,Grouped Lasso
lbxeopct,-0.0018118950242378,Grouped Lasso
lbxbapct,0.016196281973911326,Grouped Lasso
bmi_cat32,-0.004593805455984038,Grouped Lasso
bmi_cat33,-0.018565807756217443,Grouped Lasso
edu_cat2,0.0195123194573917,Grouped Lasso
edu_cat3,0.036208965083801455,Grouped Lasso
edu_cat4,0.014463388164513605,Grouped Lasso
race_cat2,-0.02718031878896719,Grouped Lasso
race_cat3,0.009904699906165392,Grouped Lasso
race_cat4,-0.034573761738529274,Grouped Lasso
male1,-0.040627017730892466,Grouped Lasso
ln_lbxcot,0.0035710072792056033,Grouped Lasso
age_cent,-0.006148586733005093,Grouped Lasso
age_sq,-1.2995524175553716e-5,Grouped Lasso
lbx074la,0,MCP
lbx099la,0,MCP
lbx118la,6.577934509527088e-4,MCP
lbx138la,0,MCP
lbx153la,0,MCP
lbx170la,0,MCP
lbx180la,0,MCP
lbx187la,0,MCP
lbxd03la,-0.001267752713849311,MCP
lbxd05la,5.529069910571063e-4,MCP
lbxd07la,-0.0020750891720746835,MCP
lbxf03la,0.00275696858864447,MCP
lbxf04la,8.981174389144454e-4,MCP
lbxf05la,-0.0019276162514174596,MCP
lbxf08la,0.0017004905782492836,MCP
lbxpcbla,0.02118182333862032,MCP
lbxhxcla,0.024860861348481228,MCP
lbx194la,0,MCP
lbxwbcsi,-0.006139352520266943,MCP
lbxlypct,-0.006406975727961799,MCP
lbxmopct,-0.011164153143611803,MCP
lbxnepct,-0.005474537813690218,MCP
lbxeopct,-0.005587294668981057,MCP
lbxbapct,0.012842087678914297,MCP
bmi_cat32,-8.107642694546748e-4,MCP
bmi_cat33,-0.016799929986047867,MCP
edu_cat2,0.016258522609632838,MCP
edu_cat3,0.03328681631110153,MCP
edu_cat4,0.01294933940706083,MCP
race_cat2,-0.024954774691448352,MCP
race_cat3,0.007696422989472244,MCP
race_cat4,-0.03408192139190465,MCP
male1,-0.042251583196164476,MCP
ln_lbxcot,0.0035550984109043626,MCP
age_cent,-0.006868218108238282,MCP
age_sq,-5.567769339354611e-6,MCP
lbx074la,4.3417480184970725e-4,SCAD
lbx099la,0.0010292539094951744,SCAD
lbx118la,0.002278975831860123,SCAD
lbx138la,-0.003915205214181009,SCAD
lbx153la,0.008789835779023243,SCAD
lbx170la,0.0027615941981649996,SCAD
lbx180la,-0.0073168272692419,SCAD
lbx187la,-0.0014098432128645676,SCAD
lbxd03la,-0.004425180707290371,SCAD
lbxd05la,0.002208038261502146,SCAD
lbxd07la,-0.0076255106956036045,SCAD
lbxf03la,0.009879800502281124,SCAD
lbxf04la,0.0032818616132252714,SCAD
lbxf05la,-0.006499180545502854,SCAD
lbxf08la,0.006076311073124224,SCAD
lbxpcbla,0.019564511113326702,SCAD
lbxhxcla,0.02253482897129244,SCAD
lbx194la,4.528733053123996e-4,SCAD
lbxwbcsi,-0.006017381140078339,SCAD
lbxlypct,-0.006800311368626103,SCAD
lbxmopct,-0.011637595735627221,SCAD
lbxnepct,-0.005832914085967678,SCAD
lbxeopct,-0.005916893335619918,SCAD
lbxbapct,0.01202367912810577,SCAD
bmi_cat32,-0.0016537081085166445,SCAD
bmi_cat33,-0.017123210989963555,SCAD
edu_cat2,0.016971448426367487,SCAD
edu_cat3,0.03395951298805142,SCAD
edu_cat4,0.012585557334600051,SCAD
race_cat2,-0.023674904965156784,SCAD
race_cat3,0.009130371240882717,SCAD
race_cat4,-0.03372769973127951,SCAD
male1,-0.042656927983121075,SCAD
ln_lbxcot,0.003695356648165959,SCAD
age_cent,-0.006683952206854434,SCAD
age_sq,-9.48644255462188e-6,SCAD
