"","mix_name","Estimate","2.5%","97.5%"
"LBXF03LA_1","LBXF03LA_1",0.193935039662532,0.0303587546782167,0.441674340344826
"LBXF03LA_0","LBXF03LA_0",0.184929869929397,0.0297667598254088,0.394432309390429
"LBXHXCLA_0","LBXHXCLA_0",0.161164110446072,0.0256237883936385,0.419119143089579
"LBX118LA_1","LBX118LA_1",0.139936957273405,0.0548948919335021,0.240878634280947
"LBXF08LA_0","LBXF08LA_0",0.125120532088938,0.0105280069319204,0.288170766692129
"LBXPCBLA_0","LBXPCBLA_0",0.101510049702247,0.00640735720112445,0.214339832734371
"LBX099LA_0","LBX099LA_0",0.100285430139144,0.0249835061932064,0.270305094214106
"LBX099LA_1","LBX099LA_1",0.0809831771067316,0.00496660500678414,0.201342427040008
"LBXPCBLA_1","LBXPCBLA_1",0.07729607999883,0.0044012852187971,0.199526383431937
"LBXF04LA_1","LBXF04LA_1",0.0677419061737686,0.000734034198685214,0.20819443331463
"LBX194LA_1","LBX194LA_1",0.0633834207706671,0.00839367832133449,0.145689723354908
"LBXF08LA_1","LBXF08LA_1",0.061973112337465,0.000642970741851624,0.220950494060261
"LBX074LA_1","LBX074LA_1",0.0607001287341261,0.0000493378891236803,0.16097310353207
"LBXHXCLA_1","LBXHXCLA_1",0.0588587963889311,0.000520401343091489,0.230206759085504
"LBX138LA_0","LBX138LA_0",0.0564032397814399,0.00252000783941931,0.245135797050286
"LBXD03LA_1","LBXD03LA_1",0.0559379572334728,0.00000358023713311301,0.178512121811204
"LBXD05LA_1","LBXD05LA_1",0.0500972385843699,0.000735920567820217,0.202557241536435
"LBXD03LA_0","LBXD03LA_0",0.0344773576272897,0.0000125203423774287,0.128739293951802
"LBX170LA_0","LBX170LA_0",0.030090775419395,0.000222370374785358,0.107454424906219
"LBXF05LA_1","LBXF05LA_1",0.0297916644470728,0.0000103643356706057,0.112763118332887
"LBX194LA_0","LBX194LA_0",0.0285209024104629,0.0000214407344529966,0.163303831989332
"LBX118LA_0","LBX118LA_0",0.0284797068299467,0.0000142675553495228,0.11833911364206
"LBXF05LA_0","LBXF05LA_0",0.0266338426339039,0.0000120112250986707,0.126219794784239
"LBXF04LA_0","LBXF04LA_0",0.0231436691218027,0.00000467398183544107,0.102163696447199
"LBX187LA_0","LBX187LA_0",0.0224024634352078,0.0000075287606666012,0.101586141443992
"LBX074LA_0","LBX074LA_0",0.0212978884944471,0.0000036182923581033,0.094203079034873
"LBXD07LA_0","LBXD07LA_0",0.0202255332938707,0.000044777367652782,0.0884953711763445
"LBX187LA_1","LBX187LA_1",0.0200802763508463,0.0000307623987665546,0.082749677393829
"LBX153LA_0","LBX153LA_0",0.0163534413075509,0.0000125877726693611,0.0901499057523745
"LBXD05LA_0","LBXD05LA_0",0.0147090598935125,0.00000977482905691984,0.0591028928616498
"LBX138LA_1","LBX138LA_1",0.0145311269738287,0.0000284886968758557,0.04620405605128
"LBX153LA_1","LBX153LA_1",0.0135499793016661,0.0000163152656806382,0.060714678130074
"LBXD07LA_1","LBXD07LA_1",0.00481584281926788,0.0000037414908981084,0.0164516781033393
"LBX180LA_1","LBX180LA_1",0.00441781910819706,0.0000110856242374641,0.0167645480013663
"LBX180LA_0","LBX180LA_0",0.00425212744537271,0.0000104680590606659,0.0166022931439337
"LBX170LA_1","LBX170LA_1",0.00196947673482227,0.0000039604371401056,0.00939453722565108
